Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Marketplace Categories > Access & Storage > Tool Storage > Specialised Tool Bags,PIM_10281
Marketplace Categories > Access & Storage > Tool Storage > Tool Backpacks,PIM_10426
Marketplace Categories > Access & Storage > Tool Storage > Tool Bags & Totes,PIM_10427
Marketplace Categories > Access & Storage > Tool Storage > Tool Belt Holsters & Pouches,PIM_10428
Marketplace Categories > Access & Storage > Tool Storage > Tool Belts,PIM_10430
Marketplace Categories > Access & Storage > Tool Storage > Tool Belts & Holster Sets,PIM_10429
Marketplace Categories > Access & Storage > Tool Storage > Tool Holder Board Sets,PIM_15221
Marketplace Categories > Access & Storage > Tool Storage > Tool Organiser Lids,PIM_13794
Marketplace Categories > Access & Storage > Tool Storage > Tool Organiser Separators,PIM_13795
Marketplace Categories > Access & Storage > Tool Storage > Tool Organisers,PIM_10421
Marketplace Categories > Access & Storage > Tool Storage > Tool Trolleys,PIM_10432
"Marketplace Categories > Access & Storage > Tool Storage > Toolbox, Trolley & Organiser Sets",PIM_14702
"Marketplace Categories > Access & Storage > Tool Storage > Toolboxes, Cases, Caddies, Chests",PIM_10431
Marketplace Categories > Access & Storage > Towers & Platforms > Folding Tower Extension Packs,PIM_13193
Marketplace Categories > Access & Storage > Towers & Platforms > Folding Working Platforms,PIM_13194
Marketplace Categories > Access & Storage > Towers & Platforms > Towers,PIM_13195
Marketplace Categories > Access & Storage > Vehicle & Site Safes > Site Cages,PIM_13196
Marketplace Categories > Access & Storage > Vehicle & Site Safes > Van & Site Safes,PIM_13197
Marketplace Categories > Automotive > Bike Carriers > Towball Bike Carriers,PIM_13270
Marketplace Categories > Automotive > Bike Carriers > Vehicle Bike Carriers,PIM_13269
Marketplace Categories > Automotive > Body Repair & Protection > Automotive Dashboard & Trim Cleaners,PIM_16095
Marketplace Categories > Automotive > Body Repair & Protection > Automotive Internal Engine Cleaning Fluids,PIM_14766
Marketplace Categories > Automotive > Body Repair & Protection > Automotive Scratch Repair,PIM_15838
Marketplace Categories > Automotive > Body Repair & Protection > Body Repair Kits,PIM_13295
Marketplace Categories > Automotive > Body Repair & Protection > Camshaft Locks,PIM_14684
Marketplace Categories > Automotive > Body Repair & Protection > Car Jack Protection Pads,PIM_15499
Marketplace Categories > Automotive > Body Repair & Protection > Dent Suction Pullers,PIM_15845
Marketplace Categories > Automotive > Body Repair & Protection > Exhaust Repair Kits,PIM_13914
Marketplace Categories > Automotive > Body Repair & Protection > Metal Body Reinforcement,PIM_15765
Marketplace Categories > Automotive > Body Repair & Protection > Metal Body Sealants & Adhesives,PIM_14848
Marketplace Categories > Automotive > Body Repair & Protection > Metal-Working Hammer Sets,PIM_13296
Marketplace Categories > Automotive > Body Repair & Protection > Plastic Repair Staples,PIM_13297
Marketplace Categories > Automotive > Body Repair & Protection > Plastic Repair Systems,PIM_13298
Marketplace Categories > Automotive > Body Repair & Protection > Trim & Dent Removal Kits,PIM_13299
Marketplace Categories > Automotive > Body Repair & Protection > Underbody Protection,PIM_13300
Marketplace Categories > Automotive > Chargers & Starters > Battery & Trickle Chargers,PIM_13271
Marketplace Categories > Automotive > Chargers & Starters > Inverters with USB Outlets,PIM_13272
Marketplace Categories > Automotive > Chargers & Starters > Jump Leads,PIM_13273
Marketplace Categories > Automotive > Chargers & Starters > Jump Starts,PIM_13275
Marketplace Categories > Automotive > Chargers & Starters > Jump Starts with USB Outputs,PIM_13274
Marketplace Categories > Automotive > Chargers & Starters > Multi-Function Power Units (Battery-Powered),PIM_14947
Marketplace Categories > Automotive > Chargers & Starters > Power Inverters,PIM_13276
